epoch,train_loss,f1,pr_auc,roc_auc,fpr,n
0,0.465372995613016,0.0,0.6555029328945782,0.0,0.0,185
1,0.3560612158474261,0.0,0.661338830643931,0.03050397877984081,0.0,185
2,0.27578044569053833,0.012658227848101266,0.6976141172305068,0.16688770999115826,0.034482758620689655,185
3,0.160033026533785,0.0,0.6975832088211726,0.1925287356321839,0.2413793103448276,185
4,0.09102162149796968,0.0,0.679588208228812,0.1114058355437666,0.034482758620689655,185
5,0.0647136526533126,0.0,0.6889659478995906,0.15185676392572944,0.13793103448275862,185
6,0.06194120298402399,0.012121212121212121,0.6705775686075972,0.07029177718832892,0.27586206896551724,185
7,0.05809438021843098,0.0,0.6686415714850573,0.06299734748010609,0.06896551724137931,185
8,0.03501125768866525,0.012195121951219513,0.6812981099912225,0.11693191865605658,0.2413793103448276,185
9,0.07784065832992176,0.03529411764705882,0.6735360576112988,0.07404951370468611,0.3793103448275862,185
10,0.033679233096544414,0.03636363636363636,0.6879837467609808,0.08532272325375773,0.20689655172413793,185
11,0.022954505369446574,0.06134969325153374,0.7191563416876414,0.16401414677276743,0.06896551724137931,185
12,0.03741996971396596,0.023952095808383235,0.6742552692812158,0.07316534040671972,0.3103448275862069,185
13,0.03904479811379936,0.024691358024691357,0.6825632258490485,0.08355437665782493,0.13793103448275862,185
14,0.04496491246071897,0.012578616352201259,0.6718110251153708,0.04619805481874448,0.06896551724137931,185
15,0.032221998953147396,0.03468208092485549,0.6783316176262291,0.10013262599469495,0.4827586206896552,185
16,0.02558791348164662,0.012269938650306749,0.6644298145722882,0.04111405835543767,0.20689655172413793,185
17,0.03377598212660834,0.012269938650306749,0.6726851915456569,0.07692307692307694,0.20689655172413793,185
18,0.024909214878467333,0.0,0.6614392536674316,0.034482758620689655,0.13793103448275862,185
19,0.018321085589484178,0.0,0.6696660715316856,0.06410256410256411,0.0,185
