f1,pr_auc,roc_auc,fpr,n,model,scope,split
0.9884602703593801,0.9990850884877717,0.9999809177515107,0.0,184626,RandomForest,flow,mon_tue_test
0.9861842105263158,0.9995909150595841,0.999996578404553,3.82321455880104e-05,184626,XGBoost,flow,mon_tue_test
0.9512195121951219,0.9869002436397406,0.9996536640437901,0.0005461735084001485,184626,MLP,flow,mon_tue_test
0.0,0.017074070782793032,0.7661388201159677,2.184694033600594e-05,184626,Autoencoder,flow,mon_tue_test
0.0,0.7015451470332941,0.18368700265251986,0.0,185,SequenceLSTM,window,mon_tue_test
0.0,0.6707267603461815,0.0722811671087533,0.0,185,StaticGCN,window,mon_tue_test
0.0,0.6555029328945782,0.0,0.034482758620689655,185,StaticGAT,window,mon_tue_test
0.0,0.6696660715316856,0.06410256410256411,0.0,185,GAT+LSTM,window,mon_tue_test
