epoch,train_loss
0,0.33068578322683395
1,0.1828849639688783
2,0.10342588121634702
3,0.03363556916626882
4,0.044141118949910914
5,0.057053718426900824
6,0.09526103110468231
7,0.011295997812874917
8,0.05844482251937092
9,0.04798883146406083
0,0.3363822398707271
1,0.24676600105885882
2,0.153158571687527
3,0.11336110498632479
4,0.05614995347496006
5,0.031509720303165525
6,0.04872377268748096
7,0.032728759539168095
8,0.02977726684962363
9,0.03243103628701647
0,0.43538802300336893
1,0.3433767178971523
2,0.2545589967681419
3,0.15307110228130352
4,0.083322435444722
5,0.06411847602936652
6,0.06717794146559596
7,0.04832518298901604
8,0.08109693266728953
9,0.06874674752575431
0,0.5554353441425169
1,0.48339308292354244
2,0.3735497788158962
3,0.32063194675720297
4,0.27924444178867047
5,0.28854626871907385
6,0.2690402793327499
7,0.26596345166105423
8,0.26470426015755666
9,0.2766238155689699
0,0.6813399207167095
1,0.5524017286807066
2,0.5026588440305204
3,0.41725121514173225
4,0.21719366818706476
5,0.16788459650342702
6,0.17398877155756054
7,0.124020817257815
8,0.10629129337507948
9,0.0834523316098057
0,0.5751471561027421
1,0.39495058219242646
2,0.31082035455083795
3,0.2829444284030423
4,0.2563477021482724
5,0.22724488532271367
6,0.17498175817557862
7,0.1333257456343218
8,0.14714290735421579
9,0.09761821635532747
0,0.5031924469512887
1,0.3366013472718704
2,0.24887554423864156
3,0.18929743511402597
4,0.17461974463363328
5,0.14469103370246456
6,0.1361298833568046
7,0.12987365721474411
8,0.13652560218461518
9,0.12348443396217716
0,0.6171039432337434
1,0.49169822576839256
2,0.391352603315289
3,0.24764663512577695
4,0.16896606178260318
5,0.19252784614389598
6,0.1402438242485183
7,0.13441598350233536
8,0.11168655158294047
9,0.09810299154050167
0,0.5709233592390608
1,0.4279942864306807
2,0.3811055120818758
3,0.35456286579441004
4,0.3388403387773355
5,0.3310444652919947
6,0.32776964137312625
7,0.28961256688837056
8,0.27711131066115735
9,0.29868566311684513
0,0.6309891526093329
1,0.44123518293231057
2,0.3594691895720914
3,0.33118110535429585
4,0.29761606724121126
5,0.27578888936811896
6,0.24297485412063072
7,0.21667581352096016
8,0.21133207322109812
9,0.18669343100877442
